,BUYS,BUYS,BUYS,BUYS,SELLS,SELLS,SELLS,SELLS
,STOCK,SHARES,PRICE,TIME,STOCK,SHARES,PRICE,TIME
0,AAPL,11789,0.8482139706611633,"January 06, 2000 at 12:00:00 AM",AAPL,11789.0,0.861607015132904,"January 07, 2000 at 12:00:00 AM"
1,PEP,269,37.625,"January 07, 2000 at 12:00:00 AM",PEP,269.0,38.125,"January 10, 2000 at 12:00:00 AM"
2,AAPL,11792,0.872767984867096,"January 10, 2000 at 12:00:00 AM",AAPL,11792.0,0.892857015132904,"January 14, 2000 at 12:00:00 AM"
3,AAPL,11741,0.896763026714325,"January 14, 2000 at 12:00:00 AM",AAPL,11741.0,0.9017860293388367,"January 18, 2000 at 12:00:00 AM"
4,INTC,207,51.0625,"January 18, 2000 at 12:00:00 AM",INTC,207.0,52.1875,"February 04, 2000 at 12:00:00 AM"
5,AAPL,11221,0.9642860293388367,"February 04, 2000 at 12:00:00 AM",AAPL,11221.0,0.9642860293388367,"February 07, 2000 at 12:00:00 AM"
6,TTWO,1352,8.0,"February 07, 2000 at 12:00:00 AM",TTWO,1352.0,8.041666984558105,"February 08, 2000 at 12:00:00 AM"
7,AMD,525,20.6875,"February 08, 2000 at 12:00:00 AM",AMD,525.0,20.6875,"February 09, 2000 at 12:00:00 AM"
8,MSFT,209,52.0,"February 09, 2000 at 12:00:00 AM",MSFT,209.0,52.4375,"February 11, 2000 at 12:00:00 AM"
9,AAPL,11296,0.970982015132904,"February 11, 2000 at 12:00:00 AM",AAPL,11296.0,0.9760040044784546,"February 14, 2000 at 12:00:00 AM"
10,AAPL,10377,1.0625,"February 15, 2000 at 12:00:00 AM",AAPL,10377.0,1.1339290142059326,"March 02, 2000 at 12:00:00 AM"
11,MSFT,252,46.6875,"March 02, 2000 at 12:00:00 AM",MSFT,252.0,47.375,"March 03, 2000 at 12:00:00 AM"
12,TXN,127,93.8125,"March 03, 2000 at 12:00:00 AM",TXN,127.0,96.125,"March 06, 2000 at 12:00:00 AM"
13,AAPL,10901,1.1222100257873535,"March 06, 2000 at 12:00:00 AM",AAPL,10901.0,1.128906011581421,"March 07, 2000 at 12:00:00 AM"
14,TTWO,1029,11.958333015441895,"March 08, 2000 at 12:00:00 AM",TTWO,1029.0,12.25,"March 09, 2000 at 12:00:00 AM"
15,MSFT,252,50.0,"March 09, 2000 at 12:00:00 AM",MSFT,252.0,51.40625,"March 22, 2000 at 12:00:00 AM"
16,AAPL,10067,1.2873879671096802,"March 22, 2000 at 12:00:00 AM",AAPL,10067.0,0.7857139706611633,"May 26, 2000 at 12:00:00 AM"
17,AMD,183,43.0,"May 30, 2000 at 12:00:00 AM",AMD,183.0,45.0,"June 02, 2000 at 12:00:00 AM"
18,AAPL,10015,0.8264510035514832,"June 02, 2000 at 12:00:00 AM",AAPL,10015.0,0.8331469893455505,"June 05, 2000 at 12:00:00 AM"
19,QCOM,242,34.4375,"June 06, 2000 at 12:00:00 AM",QCOM,242.0,35.8125,"June 07, 2000 at 12:00:00 AM"
20,AAPL,10063,0.8621649742126465,"June 07, 2000 at 12:00:00 AM",AAPL,10063.0,0.8716520071029663,"June 08, 2000 at 12:00:00 AM"
21,TXN,107,81.75,"June 08, 2000 at 12:00:00 AM",TXN,107.0,83.625,"June 09, 2000 at 12:00:00 AM"
22,JNJ,208,43.0625,"June 09, 2000 at 12:00:00 AM",JNJ,208.0,43.375,"June 12, 2000 at 12:00:00 AM"
23,AMD,211,42.75,"June 12, 2000 at 12:00:00 AM",AMD,211.0,43.0,"June 13, 2000 at 12:00:00 AM"
24,PEP,212,42.8125,"June 13, 2000 at 12:00:00 AM",PEP,212.0,43.8125,"June 16, 2000 at 12:00:00 AM"
25,AAPL,11425,0.8141739964485168,"June 16, 2000 at 12:00:00 AM",AAPL,11425.0,0.8794639706611633,"June 20, 2000 at 12:00:00 AM"
26,AAPL,11115,0.904017984867096,"June 20, 2000 at 12:00:00 AM",AAPL,11115.0,0.9955360293388367,"June 22, 2000 at 12:00:00 AM"
27,QCOM,324,34.125,"June 22, 2000 at 12:00:00 AM",QCOM,324.0,35.78125,"June 23, 2000 at 12:00:00 AM"
28,PEP,266,43.5625,"June 26, 2000 at 12:00:00 AM",PEP,266.0,43.875,"July 03, 2000 at 12:00:00 AM"
29,MSFT,292,40.0,"July 03, 2000 at 12:00:00 AM",MSFT,292.0,40.6328125,"July 07, 2000 at 12:00:00 AM"
30,MSFT,289,41.0,"July 07, 2000 at 12:00:00 AM",MSFT,289.0,34.375,"September 12, 2000 at 12:00:00 AM"
31,AMD,326,30.5,"September 12, 2000 at 12:00:00 AM",AMD,326.0,21.8125,"November 15, 2000 at 12:00:00 AM"
32,MSFT,203,35.03125,"November 15, 2000 at 12:00:00 AM",MSFT,203.0,35.71875,"November 27, 2000 at 12:00:00 AM"
33,AAPL,21764,0.33370500802993774,"November 27, 2000 at 12:00:00 AM",AAPL,21764.0,0.33370500802993774,"November 28, 2000 at 12:00:00 AM"
34,PEP,160,45.125,"November 28, 2000 at 12:00:00 AM",PEP,160.0,45.125,"November 29, 2000 at 12:00:00 AM"
35,T,131,55.1875,"November 29, 2000 at 12:00:00 AM",T,131.0,49.599998474121094,"February 06, 2001 at 12:00:00 AM"
36,MSFT,208,31.28125,"February 06, 2001 at 12:00:00 AM",MSFT,208.0,31.875,"February 08, 2001 at 12:00:00 AM"
37,QCOM,157,42.375,"February 08, 2001 at 12:00:00 AM",QCOM,157.0,42.75,"February 13, 2001 at 12:00:00 AM"
38,AAPL,19657,0.34151801466941833,"February 13, 2001 at 12:00:00 AM",AAPL,19657.0,0.3515630066394806,"February 15, 2001 at 12:00:00 AM"
39,AAPL,19290,0.358258992433548,"February 15, 2001 at 12:00:00 AM",AAPL,19290.0,0.36997801065444946,"March 06, 2001 at 12:00:00 AM"
40,MSFT,240,29.71875,"March 06, 2001 at 12:00:00 AM",MSFT,240.0,29.9375,"March 07, 2001 at 12:00:00 AM"
41,T,163,43.970001220703125,"March 07, 2001 at 12:00:00 AM",T,163.0,44.400001525878906,"March 08, 2001 at 12:00:00 AM"
42,INTC,218,33.25,"March 08, 2001 at 12:00:00 AM",INTC,218.0,28.049999237060547,"May 14, 2001 at 12:00:00 AM"
43,SNE,79,77.08000183105469,"May 14, 2001 at 12:00:00 AM",SNE,79.0,79.0,"May 15, 2001 at 12:00:00 AM"
44,AAPL,15166,0.4139289855957031,"May 15, 2001 at 12:00:00 AM",AAPL,15166.0,0.4326789975166321,"May 17, 2001 at 12:00:00 AM"
45,AAPL,15604,0.42053601145744324,"May 17, 2001 at 12:00:00 AM",AAPL,15604.0,0.4285709857940674,"May 22, 2001 at 12:00:00 AM"
46,QCOM,191,34.95500183105469,"May 22, 2001 at 12:00:00 AM",QCOM,191.0,31.610000610351562,"July 27, 2001 at 12:00:00 AM"
47,AAPL,17864,0.3385710120201111,"July 27, 2001 at 12:00:00 AM",AAPL,17864.0,0.3414289951324463,"July 30, 2001 at 12:00:00 AM"
48,SNE,131,46.400001525878906,"July 30, 2001 at 12:00:00 AM",SNE,131.0,48.70000076293945,"July 31, 2001 at 12:00:00 AM"
49,MSFT,193,33.095001220703125,"July 31, 2001 at 12:00:00 AM",MSFT,193.0,33.400001525878906,"August 01, 2001 at 12:00:00 AM"
50,INTC,210,30.75,"August 01, 2001 at 12:00:00 AM",INTC,210.0,31.40999984741211,"August 02, 2001 at 12:00:00 AM"
51,AAPL,18643,0.3539290130138397,"August 02, 2001 at 12:00:00 AM",AAPL,18643.0,0.3091070055961609,"October 12, 2001 at 12:00:00 AM"
52,JNJ,103,55.720001220703125,"October 15, 2001 at 12:00:00 AM",JNJ,103.0,56.0,"October 16, 2001 at 12:00:00 AM"
53,PEP,120,47.91999816894531,"October 16, 2001 at 12:00:00 AM",PEP,120.0,48.22999954223633,"October 17, 2001 at 12:00:00 AM"
54,AMD,600,9.710000038146973,"October 17, 2001 at 12:00:00 AM",AMD,600.0,9.979999542236328,"October 18, 2001 at 12:00:00 AM"
55,AAPL,18332,0.32678601145744324,"October 19, 2001 at 12:00:00 AM",AAPL,18332.0,0.3414289951324463,"October 23, 2001 at 12:00:00 AM"
56,AMD,647,9.65999984741211,"October 23, 2001 at 12:00:00 AM",AMD,647.0,9.800000190734863,"October 24, 2001 at 12:00:00 AM"
57,AAPL,18529,0.3426789939403534,"October 25, 2001 at 12:00:00 AM",AAPL,18529.0,0.3474999964237213,"November 07, 2001 at 12:00:00 AM"
58,QCOM,233,27.55500030517578,"November 07, 2001 at 12:00:00 AM",QCOM,233.0,27.815000534057617,"November 08, 2001 at 12:00:00 AM"
59,AMD,524,12.399999618530273,"November 08, 2001 at 12:00:00 AM",AMD,524.0,13.0600004196167,"November 09, 2001 at 12:00:00 AM"
60,SNE,171,39.79999923706055,"November 09, 2001 at 12:00:00 AM",SNE,171.0,39.79999923706055,"November 12, 2001 at 12:00:00 AM"
61,AAPL,20445,0.3348209857940674,"November 12, 2001 at 12:00:00 AM",AAPL,20445.0,0.3407140076160431,"November 13, 2001 at 12:00:00 AM"
62,AMD,510,13.649999618530273,"November 13, 2001 at 12:00:00 AM",AMD,510.0,13.960000038146973,"November 14, 2001 at 12:00:00 AM"
63,PEP,141,50.279998779296875,"November 14, 2001 at 12:00:00 AM",PEP,141.0,50.279998779296875,"November 16, 2001 at 12:00:00 AM"
64,MSFT,216,32.875,"November 16, 2001 at 12:00:00 AM",MSFT,216.0,33.125,"November 19, 2001 at 12:00:00 AM"
65,TTWO,736,9.74666690826416,"November 19, 2001 at 12:00:00 AM",TTWO,736.0,9.800000190734863,"November 20, 2001 at 12:00:00 AM"
66,AAPL,20694,0.3487499952316284,"November 20, 2001 at 12:00:00 AM",AAPL,20694.0,0.35196399688720703,"November 23, 2001 at 12:00:00 AM"
67,AAPL,20559,0.35428598523139954,"November 23, 2001 at 12:00:00 AM",AAPL,20559.0,0.35607099533081055,"November 26, 2001 at 12:00:00 AM"
68,MSFT,224,32.56999969482422,"November 26, 2001 at 12:00:00 AM",MSFT,224.0,33.244998931884766,"December 05, 2001 at 12:00:00 AM"
69,AAPL,17610,0.42428600788116455,"December 05, 2001 at 12:00:00 AM",AAPL,17610.0,0.431428998708725,"January 31, 2002 at 12:00:00 AM"
70,AAPL,17211,0.4414289891719818,"January 31, 2002 at 12:00:00 AM",AAPL,17211.0,0.44803598523139954,"February 05, 2002 at 12:00:00 AM"
71,SNE,184,41.75,"February 05, 2002 at 12:00:00 AM",SNE,184.0,42.400001525878906,"February 07, 2002 at 12:00:00 AM"
72,QCOM,400,19.55500030517578,"February 07, 2002 at 12:00:00 AM",QCOM,400.0,19.75,"February 08, 2002 at 12:00:00 AM"
73,TXN,261,30.290000915527344,"February 08, 2002 at 12:00:00 AM",TXN,261.0,30.540000915527344,"February 11, 2002 at 12:00:00 AM"
74,MSFT,260,30.565000534057617,"February 11, 2002 at 12:00:00 AM",MSFT,260.0,31.0,"February 14, 2002 at 12:00:00 AM"
75,MSFT,262,30.84000015258789,"February 14, 2002 at 12:00:00 AM",MSFT,262.0,31.5,"March 05, 2002 at 12:00:00 AM"
76,MCD,299,27.6200008392334,"March 05, 2002 at 12:00:00 AM",MCD,299.0,27.84000015258789,"March 06, 2002 at 12:00:00 AM"
77,AAPL,19124,0.435357004404068,"March 07, 2002 at 12:00:00 AM",AAPL,19124.0,0.441785991191864,"March 08, 2002 at 12:00:00 AM"
78,TXN,236,35.709999084472656,"March 08, 2002 at 12:00:00 AM",TXN,236.0,32.0,"May 14, 2002 at 12:00:00 AM"
79,AAPL,16560,0.4573209881782532,"May 14, 2002 at 12:00:00 AM",AAPL,16560.0,0.26249998807907104,"July 19, 2002 at 12:00:00 AM"
80,QCOM,289,14.994999885559082,"July 19, 2002 at 12:00:00 AM",QCOM,289.0,15.074999809265137,"August 27, 2002 at 12:00:00 AM"
81,QCOM,305,14.289999961853027,"August 27, 2002 at 12:00:00 AM",QCOM,305.0,14.725000381469727,"September 10, 2002 at 12:00:00 AM"
82,AAPL,17596,0.2558929920196533,"September 10, 2002 at 12:00:00 AM",AAPL,17596.0,0.2601790130138397,"September 17, 2002 at 12:00:00 AM"
83,T,188,24.299999237060547,"September 17, 2002 at 12:00:00 AM",T,188.0,24.299999237060547,"September 18, 2002 at 12:00:00 AM"
84,MSFT,193,23.600000381469727,"September 19, 2002 at 12:00:00 AM",MSFT,193.0,23.854999542236328,"September 20, 2002 at 12:00:00 AM"
85,QCOM,329,14.039999961853027,"September 20, 2002 at 12:00:00 AM",QCOM,329.0,14.119999885559082,"September 25, 2002 at 12:00:00 AM"
86,MSFT,200,23.2549991607666,"September 25, 2002 at 12:00:00 AM",MSFT,200.0,23.55500030517578,"September 26, 2002 at 12:00:00 AM"
